province,phufull,season,year,week,day,date,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,Total Flu A Positive,Total Flu B Positive,Total Flu Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,Adeno Test,Adeno Positive,HMPV Test,HMPV Positive,Rhino Test,Rhino Positive,Coron Test,Coron Positive,A(UnS) Positive,Entero/Rhino Test,Entero/Rhino Positive,HCOV Test,HCOV Positive,SARS-CoV-2 Test,SARS-CoV-2 Positive,ADV Test,ADV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Newfoundland,Newfoundland,2020-2021,2021,13,6.0,2021-04-03,267.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,267.0,1.0,267.0,0.0,,,0.0,0.0,0.0,267.0,7.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2021-2022,2021,37,6.0,2021-09-18,731.0,0.0,0.0,0.0,0.0,0.0,731.0,2.0,731.0,0.0,0.0,9.0,0.0,4.0,733.0,4.0,731.0,0.0,,,,,0.0,731.0,292.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2018,15,6.0,2018-04-14,141.0,0.0,0.0,33.0,16.0,49.0,141.0,13.0,141.0,0.0,0.0,0.0,0.0,0.0,141.0,1.0,141.0,3.0,,,0.0,0.0,33.0,141.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,19,6.0,2020-05-09,624.0,0.0,0.0,0.0,0.0,0.0,624.0,1.0,624.0,0.0,1.0,0.0,0.0,0.0,624.0,1.0,624.0,0.0,,,0.0,0.0,0.0,624.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2013-2014,2013,52,6.0,2013-12-28,35.0,5.0,0.0,6.0,2.0,8.0,46.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2023,36,6.0,2023-09-09,279.0,0.0,0.0,0.0,0.0,0.0,279.0,3.0,279.0,0.0,0.0,0.0,2.0,0.0,279.0,3.0,279.0,0.0,,,,,0.0,279.0,70.0,279.0,2.0,414.0,81.0,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,41,6.0,2020-10-10,210.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,210.0,1.0,210.0,0.0,,,0.0,0.0,0.0,210.0,51.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2017,49,6.0,2017-12-09,73.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,73.0,8.0,1.0,2.0,0.0,0.0,73.0,2.0,73.0,3.0,,,0.0,0.0,0.0,73.0,10.0,,,,,,,,,,
Newfoundland,Newfoundland,2015-2016,2015,38,6.0,2015-09-19,41.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,41.0,1.0,41.0,0.0,41.0,12.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2023,41,6.0,2023-10-14,372.0,0.0,0.0,1.0,0.0,1.0,372.0,4.0,372.0,1.0,1.0,1.0,5.0,0.0,372.0,5.0,372.0,0.0,,,,,1.0,372.0,68.0,372.0,1.0,599.0,130.0,,,,,,
Newfoundland,Newfoundland,2018-2019,2018,51,6.0,2018-12-22,140.0,0.0,0.0,26.0,0.0,26.0,140.0,17.0,140.0,0.0,0.0,2.0,0.0,0.0,140.0,1.0,140.0,2.0,,,0.0,0.0,26.0,140.0,11.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,1,6.0,2019-01-05,171.0,0.0,0.0,34.0,0.0,34.0,171.0,25.0,171.0,0.0,2.0,5.0,0.0,0.0,171.0,0.0,171.0,4.0,,,0.0,0.0,34.0,171.0,21.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,33,6.0,2020-08-15,134.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,134.0,0.0,,,0.0,0.0,0.0,134.0,1.0,,,,,,,,,,
Newfoundland,Newfoundland,2014-2015,2015,8,6.0,2015-02-21,83.0,0.0,0.0,15.0,0.0,15.0,83.0,30.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,83.0,2.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,7,6.0,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2021,5,6.0,2021-02-06,252.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,252.0,4.0,252.0,0.0,,,0.0,0.0,0.0,252.0,40.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2021,22,6.0,2021-06-05,260.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,260.0,0.0,,,0.0,0.0,0.0,260.0,36.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2018,17,6.0,2018-04-28,116.0,0.0,0.0,12.0,15.0,27.0,116.0,11.0,116.0,0.0,1.0,1.0,0.0,0.0,116.0,0.0,116.0,6.0,,,0.0,0.0,12.0,116.0,1.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2021,8,6.0,2021-02-27,163.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,163.0,1.0,,,0.0,0.0,0.0,163.0,6.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2017,43,6.0,2017-10-28,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,3.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,,,0.0,0.0,0.0,53.0,12.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,25,6.0,2020-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,48,,2023-2024,524,0,0,28,1,,524,27,524,0,6,1,4,0,,,524,6,,,,,28,,,,,749,173,524,13,524,34,524,2
Newfoundland,Newfoundland,2019-2020,2019,44,6.0,2019-11-02,86.0,0.0,2.0,3.0,0.0,3.0,86.0,1.0,86.0,2.0,0.0,0.0,0.0,0.0,86.0,4.0,86.0,1.0,,,0.0,0.0,1.0,86.0,15.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,26,6.0,2020-06-27,958.0,0.0,0.0,0.0,0.0,0.0,958.0,0.0,958.0,0.0,0.0,0.0,0.0,0.0,958.0,2.0,958.0,0.0,,,0.0,0.0,0.0,958.0,6.0,,,,,,,,,,
Newfoundland,Newfoundland,2021-2022,2022,26,6.0,2022-07-02,181.0,0.0,0.0,1.0,0.0,1.0,181.0,4.0,181.0,0.0,1.0,0.0,0.0,0.0,181.0,2.0,181.0,2.0,,,,,1.0,181.0,11.0,181.0,6.0,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2018,42,6.0,2018-10-20,54.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,1.0,0.0,0.0,54.0,2.0,54.0,0.0,,,0.0,0.0,0.0,54.0,10.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,19,,2023-2024,525,0,0,8,7,,525,14,525,2,4,42,3,0,,,525,23,,,,,8,,,,,633,76,525,12,525,76,525,18
Newfoundland,Newfoundland,2019-2020,2020,10,6.0,2020-03-07,323.0,0.0,0.0,18.0,101.0,119.0,323.0,20.0,323.0,3.0,0.0,0.0,0.0,0.0,323.0,2.0,323.0,9.0,,,0.0,0.0,18.0,323.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,38,,2023-2024,299,0,0,0,0,,299,2,299,0,2,0,5,0,,,299,0,,,,,0,,,,,465,66,299,4,299,74,299,0
Newfoundland,Newfoundland,2018-2019,2018,44,6.0,2018-11-03,67.0,1.0,0.0,1.0,0.0,1.0,67.0,1.0,67.0,0.0,0.0,2.0,0.0,0.0,67.0,2.0,67.0,0.0,,,0.0,0.0,0.0,67.0,10.0,,,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2016,39,6.0,2016-10-01,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,0.0,2.0,0.0,0.0,49.0,2.0,49.0,0.0,,,0.0,0.0,0.0,49.0,19.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,40,6.0,2020-10-03,374.0,0.0,0.0,0.0,0.0,0.0,374.0,2.0,374.0,0.0,0.0,0.0,0.0,0.0,374.0,1.0,374.0,0.0,,,0.0,0.0,0.0,374.0,146.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,50,6.0,2020-12-12,286.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,286.0,1.0,286.0,0.0,,,0.0,0.0,0.0,286.0,47.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2018,36,6.0,2018-09-08,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,,,0.0,0.0,0.0,19.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2017,45,6.0,2017-11-11,33.0,0.0,0.0,1.0,0.0,1.0,33.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,33.0,1.0,33.0,1.0,,,0.0,0.0,1.0,33.0,2.0,,,,,,,,,,
Newfoundland,Newfoundland,2022-2023,2023,16,6.0,2023-04-22,338.0,0.0,0.0,1.0,0.0,1.0,338.0,23.0,338.0,2.0,0.0,13.0,6.0,0.0,338.0,4.0,338.0,6.0,,,,,1.0,338.0,29.0,338.0,9.0,539.0,60.0,,,,,,
Newfoundland,Newfoundland,2017-2018,2017,47,6.0,2017-11-25,57.0,0.0,0.0,1.0,0.0,1.0,57.0,0.0,57.0,2.0,0.0,6.0,0.0,0.0,57.0,0.0,57.0,3.0,,,0.0,0.0,1.0,57.0,7.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,51,6.0,2020-12-19,470.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,470.0,1.0,0.0,0.0,0.0,0.0,471.0,2.0,470.0,0.0,,,0.0,0.0,0.0,470.0,52.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2021,29,6.0,2021-07-24,188.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,188.0,0.0,,,0.0,0.0,0.0,93.0,2.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,45,6.0,2020-11-07,267.0,0.0,0.0,0.0,0.0,0.0,267.0,1.0,267.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,267.0,0.0,,,0.0,0.0,0.0,267.0,89.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,53,6.0,2021-01-02,297.0,0.0,0.0,0.0,0.0,0.0,297.0,1.0,297.0,0.0,0.0,0.0,0.0,0.0,297.0,4.0,297.0,0.0,,,0.0,0.0,0.0,297.0,45.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2018,10,6.0,2018-03-10,251.0,0.0,0.0,23.0,40.0,63.0,251.0,16.0,251.0,1.0,0.0,0.0,0.0,0.0,251.0,2.0,251.0,13.0,,,0.0,0.0,23.0,251.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2022-2023,2022,43,6.0,2022-10-29,264.0,0.0,0.0,0.0,0.0,0.0,264.0,13.0,264.0,0.0,3.0,0.0,0.0,0.0,264.0,3.0,264.0,5.0,,,,,0.0,264.0,31.0,264.0,1.0,0.0,0.0,,,,,,
Newfoundland,Newfoundland,2017-2018,2018,1,6.0,2018-01-06,96.0,7.0,0.0,12.0,96.0,108.0,96.0,3.0,96.0,8.0,2.0,2.0,0.0,0.0,96.0,2.0,96.0,8.0,,,0.0,0.0,5.0,96.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,15,6.0,2019-04-13,326.0,0.0,0.0,97.0,0.0,97.0,326.0,16.0,326.0,0.0,5.0,9.0,0.0,0.0,326.0,2.0,326.0,32.0,,,0.0,0.0,97.0,326.0,11.0,,,,,,,,,,
Newfoundland,Newfoundland,2022-2023,2023,14,6.0,2023-04-08,306.0,0.0,0.0,0.0,1.0,1.0,306.0,19.0,306.0,2.0,0.0,28.0,5.0,0.0,306.0,2.0,306.0,8.0,,,,,0.0,306.0,26.0,306.0,5.0,475.0,77.0,,,,,,
Newfoundland,Newfoundland,2014-2015,2015,4,6.0,2015-01-24,142.0,0.0,0.0,40.0,0.0,40.0,142.0,11.0,142.0,0.0,0.0,0.0,0.0,0.0,142.0,1.0,142.0,0.0,142.0,4.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2013-2014,2014,31,6.0,2014-08-02,12.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,15,,2023-2024,467,0,0,6,13,,467,14,467,1,4,20,1,0,,,467,26,,,,,6,,,,,593,77,467,5,467,30,467,15
Newfoundland,Newfoundland,2014-2015,2015,26,6.0,2015-06-27,21.0,0.0,0.0,0.0,2.0,2.0,21.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,21.0,0.0,21.0,3.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2019,46,6.0,2019-11-16,107.0,0.0,4.0,5.0,0.0,5.0,107.0,0.0,107.0,7.0,0.0,0.0,0.0,0.0,107.0,2.0,107.0,0.0,,,0.0,0.0,1.0,107.0,14.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,4,,2023-2024,671,0,0,111,2,,671,70,671,0,1,1,3,0,,,671,14,,,,,111,,,,,832,55,671,13,671,19,671,33
Newfoundland,Newfoundland,2016-2017,2016,43,6.0,2016-10-29,64.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,0.0,4.0,0.0,0.0,64.0,4.0,64.0,1.0,,,0.0,0.0,0.0,64.0,13.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,2,6.0,2019-01-12,157.0,0.0,0.0,21.0,0.0,21.0,157.0,16.0,157.0,0.0,1.0,3.0,0.0,0.0,157.0,1.0,157.0,1.0,,,0.0,0.0,21.0,157.0,7.0,,,,,,,,,,
Newfoundland,Newfoundland,2013-2014,2013,50,6.0,2013-12-14,31.0,2.0,0.0,2.0,0.0,2.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,47,6.0,2020-11-21,297.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,297.0,1.0,297.0,0.0,,,0.0,0.0,0.0,297.0,64.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2017,2,6.0,2017-01-14,99.0,0.0,0.0,6.0,0.0,6.0,99.0,7.0,99.0,0.0,4.0,2.0,0.0,0.0,99.0,3.0,99.0,1.0,,,0.0,0.0,6.0,99.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,18,,2023-2024,541,0,0,6,12,,541,15,541,2,1,45,1,0,,,541,27,,,,,6,,,,,685,65,541,11,541,71,541,25
Newfoundland,Newfoundland,2016-2017,2016,37,6.0,2016-09-17,44.0,0.0,1.0,1.0,0.0,1.0,44.0,1.0,44.0,0.0,1.0,1.0,0.0,0.0,44.0,4.0,44.0,0.0,,,0.0,0.0,0.0,44.0,6.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,19,,2023-2024,525,0,0,8,7,,525,14,525,2,4,42,3,0,,,525,23,,,,,8,,,,,633,76,525,12,525,76,525,18
Newfoundland,Newfoundland,2017-2018,2018,19,6.0,2018-05-12,71.0,0.0,0.0,5.0,4.0,9.0,71.0,6.0,71.0,0.0,0.0,2.0,0.0,0.0,71.0,0.0,71.0,4.0,,,0.0,0.0,5.0,71.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2021-2022,2022,8,6.0,2022-02-26,129.0,0.0,0.0,0.0,0.0,0.0,129.0,1.0,129.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,129.0,0.0,,,,,0.0,129.0,0.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2017,33,6.0,2017-08-19,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,20.0,0.0,,,0.0,0.0,0.0,20.0,2.0,,,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2016,38,6.0,2016-09-24,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,53.0,0.0,1.0,1.0,0.0,0.0,53.0,2.0,53.0,1.0,,,0.0,0.0,0.0,53.0,12.0,,,,,,,,,,
Newfoundland,Newfoundland,2015-2016,2016,17,6.0,2016-04-30,56.0,0.0,0.0,1.0,3.0,4.0,56.0,9.0,56.0,0.0,0.0,2.0,0.0,0.0,56.0,1.0,56.0,9.0,56.0,3.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,15,6.0,2020-04-11,907.0,0.0,0.0,0.0,2.0,2.0,907.0,4.0,907.0,2.0,0.0,1.0,0.0,0.0,907.0,2.0,907.0,14.0,,,0.0,0.0,0.0,907.0,2.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,30,6.0,2020-07-25,222.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,222.0,0.0,,,0.0,0.0,0.0,222.0,0.0,,,,,,,,,,
Newfoundland,Newfoundland,2021-2022,2022,17,6.0,2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,17,,2023-2024,515,0,0,3,8,,515,14,515,1,1,33,1,0,,,515,24,,,,,3,,,,,617,87,515,11,515,65,515,28
Newfoundland,Newfoundland,2017-2018,2017,48,6.0,2017-12-02,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,5.0,0.0,0.0,0.0,0.0,48.0,0.0,49.0,2.0,,,0.0,0.0,0.0,48.0,7.0,,,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2017,18,6.0,2017-05-06,60.0,0.0,0.0,3.0,5.0,8.0,60.0,2.0,60.0,0.0,0.0,2.0,0.0,0.0,60.0,1.0,60.0,5.0,,,0.0,0.0,3.0,60.0,4.0,,,,,,,,,,
Newfoundland,Newfoundland,2022-2023,2023,17,6.0,2023-04-29,324.0,0.0,0.0,0.0,1.0,1.0,324.0,24.0,324.0,7.0,0.0,18.0,5.0,0.0,324.0,7.0,324.0,10.0,,,,,0.0,324.0,37.0,324.0,28.0,482.0,46.0,,,,,,
Newfoundland,Newfoundland,2014-2015,2015,17,6.0,2015-04-25,61.0,0.0,0.0,2.0,7.0,9.0,61.0,13.0,61.0,0.0,0.0,8.0,0.0,0.0,61.0,0.0,61.0,3.0,61.0,1.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,24,6.0,2020-06-13,1155.0,0.0,0.0,0.0,0.0,0.0,1155.0,3.0,1155.0,0.0,0.0,2.0,0.0,0.0,1155.0,1.0,1155.0,0.0,,,0.0,0.0,0.0,1155.0,9.0,,,,,,,,,,
Newfoundland,Newfoundland,2014-2015,2014,38,6.0,2014-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2021-2022,2021,47,6.0,2021-11-27,270.0,0.0,0.0,0.0,0.0,0.0,270.0,2.0,270.0,0.0,0.0,2.0,0.0,14.0,271.0,0.0,270.0,2.0,,,,,0.0,270.0,37.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,20,,2023-2024,769,0,0,3,9,,769,25,769,3,5,78,1,0,,,769,37,,,,,3,,,,,849,94,769,14,769,116,769,26
Newfoundland,Newfoundland,2017-2018,2018,5,6.0,2018-02-03,191.0,0.0,0.0,30.0,24.0,54.0,191.0,11.0,191.0,1.0,2.0,2.0,0.0,0.0,191.0,1.0,191.0,17.0,,,0.0,0.0,30.0,191.0,0.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,19,,2023-2024,525,0,0,8,7,,525,14,525,2,4,42,3,0,,,525,23,,,,,8,,,,,633,76,525,12,525,76,525,18
Newfoundland,Newfoundland,2014-2015,2014,35,6.0,2014-08-30,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2016-2017,2016,36,6.0,2016-09-10,25.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,,,0.0,0.0,0.0,25.0,8.0,,,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2018,11,6.0,2018-03-17,233.0,0.0,0.0,26.0,30.0,56.0,233.0,15.0,233.0,0.0,0.0,1.0,0.0,0.0,233.0,1.0,233.0,11.0,,,0.0,0.0,26.0,233.0,1.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2020,43,6.0,2020-10-24,279.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,279.0,1.0,279.0,0.0,,,0.0,0.0,0.0,279.0,67.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2013-2014,2014,23,6.0,2014-06-07,43.0,0.0,0.0,0.0,4.0,4.0,43.0,0.0,43.0,0.0,0.0,5.0,0.0,0.0,43.0,0.0,43.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,20,6.0,2019-05-18,77.0,0.0,0.0,4.0,0.0,4.0,77.0,1.0,77.0,1.0,0.0,3.0,0.0,0.0,77.0,1.0,77.0,12.0,,,0.0,0.0,4.0,77.0,3.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,5,,2023-2024,623,0,0,127,5,,623,61,623,0,3,4,1,0,,,623,16,,,,,127,,,,,843,76,623,12,623,16,623,27
Newfoundland,Newfoundland,2018-2019,2018,48,6.0,2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,9,,2023-2024,420,0,0,29,4,,420,27,420,1,1,1,1,0,,,420,12,,,,,29,,,,,530,40,420,17,420,19,420,20
Newfoundland,Newfoundland,2018-2019,2019,34,6.0,2019-08-24,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,,,0.0,0.0,0.0,29.0,8.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2018,45,6.0,2018-11-10,70.0,0.0,0.0,0.0,1.0,1.0,70.0,4.0,70.0,0.0,0.0,1.0,0.0,0.0,70.0,1.0,70.0,0.0,,,0.0,0.0,0.0,70.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2015-2016,2016,15,6.0,2016-04-16,94.0,0.0,0.0,15.0,4.0,19.0,94.0,9.0,94.0,2.0,0.0,1.0,0.0,0.0,94.0,1.0,94.0,5.0,94.0,7.0,0.0,0.0,,,,,,,,,,,,,
Newfoundland,Newfoundland,2017-2018,2017,41,6.0,2017-10-14,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,2.0,1.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,,,0.0,0.0,0.0,50.0,6.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,9,6.0,2019-03-02,187.0,0.0,0.0,40.0,0.0,40.0,187.0,29.0,187.0,0.0,2.0,16.0,0.0,0.0,187.0,1.0,187.0,9.0,,,0.0,0.0,40.0,187.0,4.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2019,43,6.0,2019-10-26,81.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,5.0,0.0,0.0,0.0,0.0,81.0,3.0,81.0,0.0,,,0.0,0.0,0.0,81.0,13.0,,,,,,,,,,
Newfoundland,Newfoundland,2020-2021,2021,25,6.0,2021-06-26,212.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,227.0,1.0,212.0,0.0,,,0.0,0.0,0.0,212.0,16.0,0.0,0.0,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,12,6.0,2019-03-23,220.0,0.0,0.0,78.0,1.0,79.0,220.0,22.0,220.0,0.0,1.0,10.0,0.0,0.0,220.0,3.0,220.0,15.0,,,0.0,0.0,78.0,220.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,14,6.0,2019-04-06,324.0,0.0,0.0,149.0,0.0,149.0,324.0,22.0,324.0,0.0,1.0,8.0,0.0,0.0,324.0,1.0,324.0,15.0,,,0.0,0.0,149.0,324.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2018-2019,2019,13,6.0,2019-03-30,285.0,0.0,0.0,97.0,0.0,97.0,285.0,23.0,285.0,0.0,0.0,6.0,0.0,0.0,285.0,0.0,285.0,16.0,,,0.0,0.0,97.0,285.0,5.0,,,,,,,,,,
Newfoundland,Newfoundland,2019-2020,2020,13,6.0,2020-03-28,1269.0,0.0,0.0,24.0,40.0,64.0,1269.0,16.0,1269.0,3.0,0.0,3.0,0.0,0.0,1269.0,11.0,1269.0,31.0,,,0.0,0.0,24.0,1269.0,14.0,,,,,,,,,,
Newfoundland,Newfoundland,2023-2024,2024,40,,2023-2024,350,0,0,0,0,,350,1,350,0,1,1,6,0,,,350,2,,,,,0,,,,,519,105,350,6,350,67,350,1
Newfoundland,Newfoundland,2017-2018,2017,44,6.0,2017-11-04,54.0,0.0,0.0,0.0,1.0,1.0,54.0,0.0,54.0,1.0,0.0,1.0,0.0,0.0,54.0,2.0,54.0,1.0,,,0.0,0.0,0.0,54.0,5.0,,,,,,,,,,
