province,phufull,season,year,week,day,date,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,Total Flu A Positive,Total Flu B Positive,Total Flu Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,Adeno Test,Adeno Positive,HMPV Test,HMPV Positive,Rhino Test,Rhino Positive,Coron Test,Coron Positive,A(UnS) Positive,Entero/Rhino Test,Entero/Rhino Positive,HCOV Test,HCOV Positive,SARS-CoV-2 Test,SARS-CoV-2 Positive,ADV Test,ADV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta,Alberta,2014-2015,2015,27,6.0,2015-07-04,206.0,0.0,2.0,2.0,0.0,2.0,206.0,1.0,206.0,7.0,0.0,0.0,0.0,0.0,206.0,3.0,206.0,7.0,206.0,40.0,206.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,45,6.0,2014-11-08,520.0,0.0,51.0,56.0,3.0,59.0,520.0,8.0,520.0,22.0,0.0,0.0,0.0,0.0,520.0,8.0,520.0,1.0,520.0,118.0,520.0,1.0,,,,,,,,,,,,,
Alberta,Alberta,2021-2022,2022,10,6.0,2022-03-12,1367.0,0.0,2.0,3.0,0.0,3.0,602.0,95.0,602.0,0.0,1.0,0.0,2.0,0.0,602.0,8.0,602.0,5.0,,,,,1.0,602.0,51.0,602.0,21.0,,,,,,,,
Alberta,Alberta,2014-2015,2014,43,6.0,2014-10-25,486.0,0.0,8.0,10.0,1.0,11.0,486.0,3.0,486.0,20.0,0.0,0.0,0.0,0.0,486.0,10.0,486.0,1.0,486.0,124.0,486.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,31,6.0,2020-08-01,2858.0,0.0,0.0,0.0,0.0,0.0,2858.0,0.0,2858.0,0.0,4.0,0.0,0.0,0.0,2858.0,6.0,2858.0,0.0,,,2858.0,0.0,0.0,2858.0,165.0,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,38,6.0,2014-09-20,501.0,0.0,4.0,7.0,0.0,7.0,501.0,2.0,501.0,5.0,0.0,0.0,0.0,0.0,501.0,5.0,501.0,0.0,501.0,189.0,501.0,3.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,48,6.0,2014-11-29,746.0,0.0,195.0,228.0,7.0,235.0,746.0,29.0,746.0,26.0,0.0,0.0,0.0,0.0,746.0,10.0,746.0,1.0,746.0,83.0,746.0,6.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2015,12,6.0,2015-03-21,597.0,0.0,3.0,4.0,58.0,62.0,597.0,62.0,597.0,41.0,0.0,0.0,0.0,0.0,597.0,7.0,597.0,22.0,597.0,100.0,597.0,21.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,50,6.0,2014-12-13,1204.0,0.0,310.0,520.0,10.0,530.0,1204.0,44.0,1204.0,38.0,0.0,0.0,0.0,0.0,1204.0,4.0,1204.0,9.0,1204.0,73.0,1204.0,4.0,,,,,,,,,,,,,
Alberta,Alberta,2015-2016,2016,6,6.0,2016-02-13,1347.0,372.0,4.0,454.0,81.0,535.0,1347.0,55.0,1347.0,19.0,0.0,0.0,0.0,0.0,1347.0,1.0,1347.0,98.0,1347.0,63.0,1347.0,17.0,,,,,,,,,,,,,
Alberta,Alberta,2015-2016,2016,23,6.0,2016-06-11,313.0,0.0,1.0,1.0,3.0,4.0,313.0,16.0,313.0,5.0,0.0,0.0,0.0,0.0,313.0,0.0,313.0,5.0,313.0,48.0,313.0,2.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2015,7,6.0,2015-02-14,748.0,1.0,16.0,23.0,35.0,58.0,748.0,181.0,748.0,29.0,0.0,0.0,0.0,0.0,748.0,4.0,748.0,7.0,748.0,72.0,748.0,40.0,,,,,,,,,,,,,
Alberta,Alberta,2022-2023,2023,17,6.0,2023-04-29,2550.0,10.0,0.0,15.0,58.0,73.0,2418.0,6.0,907.0,8.0,2.0,11.0,9.0,0.0,906.0,11.0,906.0,16.0,,,,,5.0,890.0,103.0,907.0,33.0,3917.0,361.0,,,,,,
Alberta,Alberta,2022-2023,2022,42,6.0,2022-10-22,2321.0,2.0,33.0,54.0,1.0,55.0,2034.0,53.0,945.0,16.0,3.0,17.0,1.0,0.0,945.0,11.0,945.0,2.0,,,,,19.0,923.0,135.0,945.0,27.0,0.0,0.0,,,,,,
Alberta,Alberta,2014-2015,2015,9,6.0,2015-02-28,680.0,0.0,15.0,19.0,39.0,58.0,680.0,143.0,680.0,32.0,0.0,0.0,0.0,0.0,680.0,7.0,680.0,8.0,680.0,70.0,680.0,27.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,3,6.0,2021-01-23,2516.0,0.0,0.0,0.0,0.0,0.0,868.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,868.0,5.0,868.0,0.0,,,868.0,1.0,0.0,868.0,38.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2014,36,6.0,2014-09-06,306.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,306.0,6.0,0.0,0.0,0.0,0.0,306.0,4.0,306.0,1.0,306.0,91.0,306.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,44,6.0,2014-11-01,445.0,0.0,15.0,16.0,3.0,19.0,445.0,3.0,445.0,21.0,0.0,0.0,0.0,0.0,445.0,7.0,445.0,0.0,445.0,84.0,445.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,33,6.0,2020-08-15,2426.0,1.0,0.0,1.0,0.0,1.0,2422.0,0.0,2422.0,0.0,0.0,0.0,0.0,0.0,2422.0,2.0,2422.0,0.0,,,2422.0,2.0,0.0,2422.0,159.0,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,16,6.0,2021-04-24,2699.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,574.0,0.0,,,574.0,1.0,0.0,574.0,52.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,15,6.0,2015-04-11,516.0,0.0,1.0,3.0,44.0,47.0,516.0,37.0,516.0,32.0,0.0,0.0,0.0,0.0,516.0,17.0,516.0,22.0,516.0,95.0,516.0,7.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,51,6.0,2014-12-20,1374.0,0.0,367.0,556.0,16.0,572.0,1374.0,77.0,1374.0,35.0,0.0,0.0,0.0,0.0,1374.0,6.0,1374.0,2.0,1374.0,88.0,1374.0,19.0,,,,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,32,6.0,2020-08-08,2685.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,2685.0,1.0,1.0,0.0,1.0,0.0,2685.0,7.0,2685.0,0.0,,,2685.0,0.0,0.0,2685.0,148.0,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,4,6.0,2021-01-30,2403.0,0.0,0.0,0.0,0.0,0.0,731.0,0.0,731.0,0.0,1.0,0.0,0.0,0.0,731.0,0.0,731.0,0.0,,,731.0,0.0,0.0,731.0,33.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,16,6.0,2015-04-18,537.0,1.0,6.0,9.0,39.0,48.0,537.0,21.0,537.0,38.0,0.0,0.0,0.0,0.0,537.0,11.0,537.0,12.0,537.0,94.0,537.0,8.0,,,,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,46,6.0,2014-11-15,517.0,0.0,53.0,75.0,1.0,76.0,517.0,17.0,517.0,26.0,0.0,0.0,0.0,0.0,517.0,6.0,517.0,1.0,517.0,91.0,517.0,1.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2020,52,6.0,2020-12-26,3448.0,0.0,0.0,0.0,0.0,0.0,1060.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,1060.0,4.0,1060.0,0.0,,,1060.0,0.0,0.0,1060.0,51.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,3,6.0,2015-01-17,881.0,1.0,94.0,124.0,32.0,156.0,881.0,138.0,881.0,18.0,0.0,0.0,0.0,0.0,881.0,5.0,881.0,2.0,881.0,47.0,881.0,36.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,2,6.0,2021-01-16,3086.0,1.0,0.0,2.0,0.0,2.0,1315.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0,1315.0,5.0,1315.0,0.0,,,1315.0,1.0,1.0,1315.0,45.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2020-2021,2021,17,6.0,2021-05-01,2615.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,611.0,4.0,611.0,0.0,,,611.0,2.0,0.0,611.0,55.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2020-2021,2021,1,6.0,2021-01-09,3036.0,0.0,0.0,0.0,0.0,0.0,1132.0,0.0,1132.0,0.0,0.0,1.0,0.0,0.0,1132.0,5.0,1132.0,1.0,,,1132.0,0.0,0.0,1132.0,53.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2015-2016,2016,24,6.0,2016-06-18,322.0,0.0,0.0,1.0,0.0,1.0,322.0,7.0,322.0,19.0,0.0,0.0,0.0,0.0,322.0,4.0,322.0,4.0,322.0,47.0,322.0,2.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2020,36,6.0,2020-09-05,2004.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0,2004.0,0.0,4.0,0.0,1.0,0.0,2004.0,6.0,2004.0,1.0,,,2004.0,0.0,0.0,2004.0,122.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2014-2015,2015,11,6.0,2015-03-14,660.0,0.0,11.0,14.0,78.0,92.0,660.0,87.0,660.0,21.0,0.0,0.0,0.0,0.0,660.0,13.0,660.0,14.0,660.0,94.0,660.0,19.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2020,51,6.0,2020-12-19,3629.0,0.0,0.0,1.0,0.0,1.0,1397.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,1397.0,3.0,1397.0,0.0,,,1397.0,0.0,1.0,1397.0,66.0,0.0,0.0,,,,,,,,
Alberta,Alberta,2019-2020,2020,14,6.0,2020-04-04,2705.0,4.0,1.0,5.0,5.0,10.0,2705.0,0.0,2705.0,6.0,2.0,3.0,6.0,0.0,2705.0,20.0,2705.0,80.0,,,2705.0,92.0,0.0,2705.0,122.0,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,41,6.0,2014-10-11,534.0,0.0,6.0,10.0,3.0,13.0,534.0,2.0,534.0,14.0,0.0,0.0,0.0,0.0,534.0,7.0,534.0,1.0,534.0,164.0,534.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2021,13,6.0,2021-04-03,2111.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,522.0,2.0,522.0,0.0,,,522.0,0.0,0.0,522.0,52.0,0.0,0.0,,,,,,,,
